question,answer
Tomato pasta,"1. Boil tomatoes. When tomatoes are softened, peel the skin off tomatoes and cut into small pieces.
2. Boil pasta and stir occasionally, until tender yet firm to the bite (4 to 5 minutes).
3. Heat olive oil in a large skillet, and saute garlic until opaque but not browned.
4. Stir in tomato paste, tomatoes, salt, and pepper.
5. Reduce heat, and simmer until pasta is ready, adding basil at the end.
6. Drain pasta and toss with a bit of olive oil, then mix into the sauce."
Grilled cheese sandwich,"1. Butter the bread on one side and place the bread butter-side down on a hot skillet.
2. Top with cheese, then place another slice of bread on top (butter-side up).
3. Cook until the bottom slice is lightly browned, then flip.
4. Continue cooking until the cheese is melted. "
Caesar salad,"1. Combine anchovy fillets with garlic in a food processor and pulse several times to form a paste.
2. Process mayonnaise, Parmesan cheese, half-and-half, lemon juice, Dijon mustard, and Worcestershire sauce with anchovy mixture until dressing is creamy.
3. Refrigerate for an hour or more before serving."
Pad thai,"1. Soak rice noodles in cold water until soft. Drain and set aside.
2. Heat butter in a wok, add meat and saute until browned. Remove meat and set aside.
3. Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in meat and cook for 5 minutes.
4. Add softened noodles, sugar, fish sauce, vinegar, and red pepper. Mix well until noodles are tender. Adjust seasonings to taste.
5. Stir bean sprouts into wok and cook for 3 minutes.
6. Serve topped with green onions, crushed peanuts, and a wedge of lemon."
Bibimbap,"1. Stir cucumber pieces and gochujang paste together in a bowl and set aside.
2. Boil spinach for about 2 to 3 minutes.
3. Drain spinach and squeeze out as much moisture as possible. Set aside in a bowl and stir in soy sauce.
4. Heat oil in a pan and stir carrots until softened.
5. Stir in garlic and cook just until fragrant.
6. Stir in cucumber mixture, sprinkle with red pepper flakes and set aside.
7. Brown meat in a pan over medium heat about 5 minutes per side and set aside.
8. Fry eggs just on one side until yolks are runny but whites are firm and set aside.
9. Put rice in a bowl topped with spinach mixture, meat, and cucumber mixture. Place egg on top of everything. Drizzle each bowl with sesame oil, a sprinkle of sesame seeds,and a small amount of gochujang paste."
Spring roll,"1. Boil rice vermicelli noodles for 3 to 5 minutes. Drain and set aside to cool.
2. Fill a large bowl with warm water. Dip a rice wrapper into the hot water for 2 seconds to soften.
3. Lay wrapper flat, place shrimp, vermicelli noodle, lettuce, mint, cilantro and basil, leaving about 2 inches uncovered on each side.
4. Fold uncovered sides inward, then tightly roll the wrapper.
5. For dipping sauce 1, mix water, lime juice, sugar, fish sauce, garlic and chili sauce until well combined.
6. For dipping sauce 2, mix hoisin sauce, peanuts butter and crushed peanuts until well combined."
Pancake,"Mix 1 cup of pancake mix, 1 cup of milk, 1 egg, and 2 tablespoons of oil together in a large bowl. Cook pancakes on a hot pan and serve with your choice of toppings."
Toad in a hole,"1. Preheat a large pan to a high heat.
2. With a small biscuit cutter remove centers from bread. Butter slices on one side only.
3. Grill bread until lightly toasted
4. Crack an egg into each bread hole.
5. Season with salt and pepper to taste.
6. Lay 1 slice of cheese on each egg and then the bread rounds.
7. Cool until eggs are cooked to your desired consistency. "
Steak,"1. Marinade steak with vegetable oil, soy sauce, red wine vinegar, lemon juice, Worcestershire sauce, Dijon mustard, garlic, and black pepper for 2 to 12 hours.
2. Cook the steak in a pan until lightly browned on the bottom, then flip to the other side and repeat.
3. Check the internal temperature to match your preference:
Rare: 125 degrees F (52 degrees C)
Medium Rare: 130 degrees F (54 degrees C)
Medium: 140 degrees F (60 degrees C)
Medium Well: 150 degrees F (65 degrees C)
Well Done: 160 degrees F (70 degrees C)"
Mashed potato,"1. Add the potatoes and garlic to a large pot of salted boiling water.
2. Reduce the heat and simmer until the potatoes are tender.
3. Heat the milk and butter in a saucepan until the butter is melted.
4. Drain the potatoes, then return them to the pot.
5. Slowly add the warm milk mixture, mashing with a masher until the potatoes are smooth and creamy. Adjust seasoning to taste."
